,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
287,Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,Comedy Family Fantasy,son of the mask,Jamie Kennedy Traylor Howard Ben Stein Lawrence Guterman Comedy Family Fantasy
288,Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller,in the heart of the sea,Chris Hemsworth Benjamin Walker Frank Dillane Ron Howard Action Adventure Biography Drama History Thriller
289,Ron Underwood,Rosario Dawson,Randy Quaid,Burt Young,Action Comedy Sci-Fi,the adventures of pluto nash,Rosario Dawson Randy Quaid Burt Young Ron Underwood Action Comedy Sci-Fi
290,Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,Action Drama Thriller War,green zone,Matt Damon Sean Huze Igal Naor Paul Greengrass Action Drama Thriller War
291,Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,Adventure Animation Comedy Family,the peanuts movie,Francesca Capaldi Venus Schultheis Bill Melendez Steve Martino Adventure Animation Comedy Family
292,David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,Drama Mystery Thriller,the spanish prisoner,Ben Gazzara Felicity Huffman Campbell Scott David Mamet Drama Mystery Thriller
293,Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,Action Adventure Fantasy Thriller,the mummy returns,Dwayne Johnson Brendan Fraser Patricia Velasquez Stephen Sommers Action Adventure Fantasy Thriller
294,Martin Scorsese,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,Crime Drama,gangs of new york,Leonardo DiCaprio Liam Neeson Jim Broadbent Martin Scorsese Crime Drama
295,Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,Drama History Romance War,the flowers of war,Christian Bale Ni Ni Shigeo Kobayashi Yimou Zhang Drama History Romance War
296,Ash Brannon,Jeff Bridges,Zooey Deschanel,Jon Heder,Animation Comedy Family Sport,surf's up,Jeff Bridges Zooey Deschanel Jon Heder Ash Brannon Animation Comedy Family Sport
297,Frank Oz,Jon Lovitz,Matthew Broderick,Roger Bart,Comedy Sci-Fi Thriller,the stepford wives,Jon Lovitz Matthew Broderick Roger Bart Frank Oz Comedy Sci-Fi Thriller
298,Ridley Scott,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Drama History War,black hawk down,Ioan Gruffudd Sam Shepard Ewen Bremner Ridley Scott Drama History War
299,Jay Roach,Will Ferrell,Thomas Middleditch,Katherine LaNasa,Comedy,the campaign,Will Ferrell Thomas Middleditch Katherine LaNasa Jay Roach Comedy
300,Luc Besson,Milla Jovovich,Bruce Willis,Gary Oldman,Action Adventure Sci-Fi,the fifth element,Milla Jovovich Bruce Willis Gary Oldman Luc Besson Action Adventure Sci-Fi
301,Michael Patrick King,Chris Noth,Liza Minnelli,Kristin Davis,Comedy Drama Romance,sex and the city 2,Chris Noth Liza Minnelli Kristin Davis Michael Patrick King Comedy Drama Romance
302,Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,Adventure Animation Comedy Family Romance,the road to el dorado,Frank Welker Rosie Perez Elton John Bibo Bergeron Adventure Animation Comedy Family Romance
303,Steve Martino,Peter Dinklage,Josh Gad,Drake,Adventure Animation Comedy Family,ice age: continental drift,Peter Dinklage Josh Gad Drake Steve Martino Adventure Animation Comedy Family
304,Andrew Stanton,Alexander Gould,Stephen Root,Brad Garrett,Adventure Animation Comedy Family,finding nemo,Alexander Gould Stephen Root Brad Garrett Andrew Stanton Adventure Animation Comedy Family
305,Peter Jackson,Orlando Bloom,Billy Boyd,Bernard Hill,Action Adventure Drama Fantasy,the lord of the rings: the return of the king,Orlando Bloom Billy Boyd Bernard Hill Peter Jackson Action Adventure Drama Fantasy
306,Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the two towers,Christopher Lee Orlando Bloom Billy Boyd Peter Jackson Action Adventure Drama Fantasy
307,Sergey Bodrov,Jeff Bridges,Djimon Hounsou,Olivia Williams,Action Adventure Fantasy,seventh son,Jeff Bridges Djimon Hounsou Olivia Williams Sergey Bodrov Action Adventure Fantasy
308,Simon West,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,Action Adventure Fantasy Thriller,lara croft: tomb raider,Angelina Jolie Pitt Noah Taylor Chris Barrie Simon West Action Adventure Fantasy Thriller
309,Wally Pfister,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller,transcendence,Johnny Depp Morgan Freeman Clifton Collins Jr. Wally Pfister Drama Mystery Romance Sci-Fi Thriller
310,Joe Johnston,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action Adventure Sci-Fi Thriller,jurassic park iii,Michael Jeter Trevor Morgan Alessandro Nivola Joe Johnston Action Adventure Sci-Fi Thriller
311,Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,Action Drama Sci-Fi Thriller,rise of the planet of the apes,James Franco David Oyelowo Tyler Labine Rupert Wyatt Action Drama Sci-Fi Thriller
312,Mark Waters,Martin Short,Tod Fennell,Joan Plowright,Adventure Family Fantasy,the spiderwick chronicles,Martin Short Tod Fennell Joan Plowright Mark Waters Adventure Family Fantasy
313,John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action Thriller,a good day to die hard,Bruce Willis Cole Hauser Megalyn Echikunwoke John Moore Action Thriller
314,Brad Bird,Holly Hunter,Craig T. Nelson,Lou Romano,Action Adventure Animation Family,the incredibles,Holly Hunter Craig T. Nelson Lou Romano Brad Bird Action Adventure Animation Family
315,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,Action Adventure Comedy,cutthroat island,Christopher Masterson Frank Langella Matthew Modine Renny Harlin Action Adventure Comedy
316,Chris Columbus,Logan Lerman,Rosario Dawson,Steve Coogan,Adventure Family Fantasy,percy jackson & the olympians: the lightning thief,Logan Lerman Rosario Dawson Steve Coogan Chris Columbus Adventure Family Fantasy
317,Barry Sonnenfeld,Will Smith,Rip Torn,Linda Fiorentino,Adventure Comedy Family Mystery Sci-Fi,men in black,Will Smith Rip Torn Linda Fiorentino Barry Sonnenfeld Adventure Comedy Family Mystery Sci-Fi
318,John Lasseter,Tom Hanks,John Ratzenberger,Wayne Knight,Adventure Animation Comedy Family Fantasy,toy story 2,Tom Hanks John Ratzenberger Wayne Knight John Lasseter Adventure Animation Comedy Family Fantasy
319,Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,Action Thriller,unstoppable,Denzel Washington Rosario Dawson Ethan Suplee Tony Scott Action Thriller
320,Brett Ratner,Mei Melançon,John Lone,Harris Yulin,Action Comedy Crime Thriller,rush hour 2,Mei Melançon John Lone Harris Yulin Brett Ratner Action Comedy Crime Thriller
321,Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller,what lies beneath,Harrison Ford Amber Valletta Miranda Otto Robert Zemeckis Drama Fantasy Horror Mystery Thriller
322,Phil Lord,Will Forte,Bobb'e J. Thompson,Al Roker,Animation Comedy Family Sci-Fi,cloudy with a chance of meatballs,Will Forte Bobb'e J. Thompson Al Roker Phil Lord Animation Comedy Family Sci-Fi
323,Carlos Saldanha,Denis Leary,Maile Flanagan,Kelly Keaton,Action Adventure Animation Comedy Family,ice age: dawn of the dinosaurs,Denis Leary Maile Flanagan Kelly Keaton Carlos Saldanha Action Adventure Animation Comedy Family
324,Ben Stiller,Adam Scott,Adrian Martinez,Joey Slotnick,Adventure Comedy Drama Fantasy Romance,the secret life of walter mitty,Adam Scott Adrian Martinez Joey Slotnick Ben Stiller Adventure Comedy Drama Fantasy Romance
325,McG,Bill Murray,LL Cool J,Kelly Lynch,Action Adventure Comedy Crime Thriller,charlie's angels,Bill Murray LL Cool J Kelly Lynch McG Action Adventure Comedy Crime Thriller
326,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone,Crime Drama Thriller,the departed,Leonardo DiCaprio Matt Damon Ray Winstone Martin Scorsese Crime Drama Thriller
327,Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,Adventure Animation Family Fantasy Musical War,mulan,Ming-Na Wen Harvey Fierstein June Foray Tony Bancroft Adventure Animation Family Fantasy Musical War
328,Ben Stiller,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,Action Comedy,tropic thunder,Robert Downey Jr. Steve Coogan Brandon T. Jackson Ben Stiller Action Comedy
329,David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller,the girl with the dragon tattoo,Robin Wright Goran Visnjic Joely Richardson David Fincher Crime Drama Mystery Thriller
330,John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Action Adventure Thriller,die hard with a vengeance,Bruce Willis Aldis Hodge Kevin Chamberlin John McTiernan Action Adventure Thriller
331,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller,sherlock holmes,Robert Downey Jr. Eddie Marsan Robert Maillet Guy Ritchie Action Adventure Crime Mystery Thriller
332,Gary Trousdale,Leonard Nimoy,Jim Varney,Cree Summer,Action Adventure Animation Family Fantasy Sci-Fi,atlantis: the lost empire,Leonard Nimoy Jim Varney Cree Summer Gary Trousdale Action Adventure Animation Family Fantasy Sci-Fi
333,Walt Becker,Bella Thorne,Joshua Mikel,Jesse McCartney,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: the road chip,Bella Thorne Joshua Mikel Jesse McCartney Walt Becker Adventure Animation Comedy Family Fantasy Music
334,Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War,valkyrie,Tom Cruise Tom Wilkinson Thomas Kretschmann Bryan Singer Drama History Thriller War
335,Dennis Dugan,Adam Sandler,Sayed Badreya,Kevin Nealon,Action Comedy,you don't mess with the zohan,Adam Sandler Sayed Badreya Kevin Nealon Dennis Dugan Action Comedy
336,Chris Columbus,Peter Dinklage,Adam Sandler,Josh Gad,Action Animation Comedy Sci-Fi,pixels,Peter Dinklage Adam Sandler Josh Gad Chris Columbus Action Animation Comedy Sci-Fi
337,Steven Spielberg,Haley Joel Osment,William Hurt,Kevin Sussman,Adventure Drama Sci-Fi,a.i. artificial intelligence,Haley Joel Osment William Hurt Kevin Sussman Steven Spielberg Adventure Drama Sci-Fi
338,Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,Comedy Family Fantasy Horror Mystery,the haunted mansion,Marsha Thomason Rachael Harris Marc John Jefferies Rob Minkoff Comedy Family Fantasy Horror Mystery
339,Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller,contact,Matthew McConaughey Tom Skerritt Larry King Robert Zemeckis Drama Mystery Sci-Fi Thriller
340,Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,Action Horror Sci-Fi Thriller,hollow man,Greg Grunberg Kim Dickens Joey Slotnick Paul Verhoeven Action Horror Sci-Fi Thriller
341,Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller,the interpreter,Curtiss Cook George Harris Michael Wright Sydney Pollack Crime Mystery Thriller
342,Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,Adventure Family Fantasy,percy jackson: sea of monsters,Logan Lerman Leven Rambin Brandon T. Jackson Thor Freudenthal Adventure Family Fantasy
343,Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,Action Adventure Fantasy,lara croft tomb raider: the cradle of life,Gerard Butler Angelina Jolie Pitt Djimon Hounsou Jan de Bont Action Adventure Fantasy
344,Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller,now you see me 2,Daniel Radcliffe Morgan Freeman Sanaa Lathan Jon M. Chu Action Adventure Comedy Crime Mystery Thriller
345,Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,Action Crime Thriller,spy game,Brad Pitt Stephen Dillane Catherine McCormack Tony Scott Action Crime Thriller
346,Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,Adventure Sci-Fi Thriller,mission to mars,Don Cheadle Connie Nielsen Kim Delaney Brian De Palma Adventure Sci-Fi Thriller
347,Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,Adventure Animation Comedy Family Musical,rio,Anne Hathaway Wanda Sykes Will.i.am Carlos Saldanha Adventure Animation Comedy Family Musical
348,Chris Columbus,Robin Williams,Oliver Platt,John Michael Higgins,Comedy Drama Sci-Fi,bicentennial man,Robin Williams Oliver Platt John Michael Higgins Chris Columbus Comedy Drama Sci-Fi
349,Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,Action Drama Sci-Fi Thriller,volcano,Don Cheadle Anne Heche Gaby Hoffmann Mick Jackson Action Drama Sci-Fi Thriller
350,Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,Action Crime Drama Thriller,the devil's own,Harrison Ford Brad Pitt Natascha McElhone Alan J. Pakula Action Crime Drama Thriller
351,Kathryn Bigelow,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War,k-19: the widowmaker,Liam Neeson Christian Camargo Lex Shrapnel Kathryn Bigelow Drama History Thriller War
352,Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi,fantastic four,Tim Blake Nelson Reg E. Cathey Tim Heidecker Josh Trank Action Adventure Sci-Fi
353,Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Biography Drama Sport,cinderella man,Paddy Considine Bruce McGill Rosemarie DeWitt Ron Howard Biography Drama Sport
354,Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,Action Family Fantasy Musical,the nutcracker in 3d,Shirley Henderson Nathan Lane Richard E. Grant Andrey Konchalovskiy Action Family Fantasy Musical
355,Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport,seabiscuit,Jeff Bridges Michael Angarano Michael O'Neill Gary Ross Drama History Sport
356,Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller,twister,Philip Seymour Hoffman Alan Ruck Jami Gertz Jan de Bont Action Adventure Drama Thriller
357,Robert Zemeckis,Tom Hanks,Paul Sanchez,Nick Searcy,Adventure Drama Romance,cast away,Tom Hanks Paul Sanchez Nick Searcy Robert Zemeckis Adventure Drama Romance
358,George Miller,Robin Williams,Hugh Jackman,Elizabeth Daily,Animation Comedy Family Music Romance,happy feet,Robin Williams Hugh Jackman Elizabeth Daily George Miller Animation Comedy Family Music Romance
359,Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,the bourne supremacy,Matt Damon Joan Allen Oksana Akinshina Paul Greengrass Action Mystery Thriller
360,Wolfgang Petersen,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller,air force one,Harrison Ford Gary Oldman Dean Stockwell Wolfgang Petersen Action Adventure Drama Thriller
361,Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould,Crime Thriller,ocean's eleven,Brad Pitt Bernie Mac Elliott Gould Steven Soderbergh Crime Thriller
362,Paul W.S. Anderson,Milla Jovovich,Logan Lerman,Orlando Bloom,Action Adventure Romance,the three musketeers,Milla Jovovich Logan Lerman Orlando Bloom Paul W.S. Anderson Action Adventure Romance
363,Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Jon Lovitz,Animation Comedy Family Fantasy,hotel transylvania,Steve Buscemi Adam Sandler Jon Lovitz Genndy Tartakovsky Animation Comedy Family Fantasy
364,Kevin Lima,Jeff Bennett,Teala Dunn,Fred Tatasciore,Animation Comedy Family Fantasy Musical Romance,enchanted,Jeff Bennett Teala Dunn Fred Tatasciore Kevin Lima Animation Comedy Family Fantasy Musical Romance
365,unknown,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller,hannibal            ,Caroline Dhavernas Scott Thompson Hettienne Park unknown Crime Drama Horror Mystery Thriller
366,Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller,safe house,Denzel Washington Ryan Reynolds Sam Shepard Daniel Espinosa Action Crime Mystery Thriller
367,Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,Adventure Comedy Family,102 dalmatians,Ioan Gruffudd Eric Idle Jim Carter Kevin Lima Adventure Comedy Family
368,Brett Ratner,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,Action Comedy Crime,tower heist,Matthew Broderick Gabourey Sidibe Judd Hirsch Brett Ratner Action Comedy Crime
369,Nancy Meyers,Kate Winslet,Rufus Sewell,Sarah Parish,Comedy Romance,the holiday,Kate Winslet Rufus Sewell Sarah Parish Nancy Meyers Comedy Romance
370,Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller,enemy of the state,Will Smith Jake Busey Lisa Bonet Tony Scott Action Crime Drama Mystery Thriller
371,Nancy Meyers,Meryl Streep,Hunter Parrish,Zoe Kazan,Comedy Drama Romance,it's complicated,Meryl Streep Hunter Parrish Zoe Kazan Nancy Meyers Comedy Drama Romance
372,Steven Soderbergh,Al Pacino,Matt Damon,Brad Pitt,Crime Thriller,ocean's thirteen,Al Pacino Matt Damon Brad Pitt Steven Soderbergh Crime Thriller
373,Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,Adventure Animation Comedy Family,open season,Jon Favreau Debra Messing Jane Krakowski Roger Allers Adventure Animation Comedy Family
374,Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi,divergent,Kate Winslet Theo James Mekhi Phifer Neil Burger Adventure Mystery Sci-Fi
375,Jean-Jacques Annaud,Bob Hoskins,Gabriel Thomson,Clemens Schick,Drama History War,enemy at the gates,Bob Hoskins Gabriel Thomson Clemens Schick Jean-Jacques Annaud Drama History War
376,Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller,the rundown,Dwayne Johnson Rosario Dawson Ewen Bremner Peter Berg Action Adventure Comedy Thriller
377,John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,Action Adventure Comedy Fantasy,last action hero,F. Murray Abraham Tom Noonan Joan Plowright John McTiernan Action Adventure Comedy Fantasy
378,Rob Marshall,Li Gong,Mako,Karl Yune,Drama Romance,memoirs of a geisha,Li Gong Mako Karl Yune Rob Marshall Drama Romance
379,Justin Lin,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Action Crime Thriller,the fast and the furious: tokyo drift,Amber Stevens West Zachery Ty Bryan Nikki Griffin Justin Lin Action Crime Thriller
380,Sarah Smith,Jim Broadbent,Imelda Staunton,Michael Palin,Adventure Animation Comedy Family Fantasy,arthur christmas,Jim Broadbent Imelda Staunton Michael Palin Sarah Smith Adventure Animation Comedy Family Fantasy
381,Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber,Drama Fantasy Romance,meet joe black,Anthony Hopkins Brad Pitt Jake Weber Martin Brest Drama Fantasy Romance
382,Andrew Davis,Raymond Cruz,Rick Worthy,Jsu Garcia,Action Drama Thriller,collateral damage,Raymond Cruz Rick Worthy Jsu Garcia Andrew Davis Action Drama Thriller
383,Bob Fosse,Roy Scheider,Ben Vereen,Max Wright,Comedy Drama Music Musical,all that jazz,Roy Scheider Ben Vereen Max Wright Bob Fosse Comedy Drama Music Musical
384,Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,Adventure Comedy Drama Family Fantasy,mirror mirror,Julia Roberts Nathan Lane Danny Woodburn Tarsem Singh Adventure Comedy Drama Family Fantasy
385,Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong,Action Comedy Fantasy Romance,scott pilgrim vs. the world,Anna Kendrick Kieran Culkin Ellen Wong Edgar Wright Action Comedy Fantasy Romance
386,Jon Amiel,Glenn Morshower,Tchéky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller,the core,Glenn Morshower Tchéky Karyo Rekha Sharma Jon Amiel Action Adventure Sci-Fi Thriller
387,Peter Segal,Larry Miller,Janet Jackson,Chris Elliott,Comedy Romance Sci-Fi,nutty professor ii: the klumps,Larry Miller Janet Jackson Chris Elliott Peter Segal Comedy Romance Sci-Fi
388,Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.,Adventure Comedy Mystery,scooby-doo,Sarah Michelle Gellar Linda Cardellini Miguel A. Núñez Jr. Raja Gosnell Adventure Comedy Mystery
389,Frank Coraci,Adam Sandler,Cameron Monaghan,Julie Kavner,Comedy Drama Fantasy Romance,click,Adam Sandler Cameron Monaghan Julie Kavner Frank Coraci Comedy Drama Fantasy Romance
390,Brad Peyton,Jack McBrayer,Sean Hayes,Katt Williams,Action Comedy Family Fantasy,cats & dogs: the revenge of kitty galore,Jack McBrayer Sean Hayes Katt Williams Brad Peyton Action Comedy Family Fantasy
391,Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller,jumper,Kristen Stewart Hayden Christensen Tom Hulce Doug Liman Action Adventure Sci-Fi Thriller
392,Guillermo del Toro,Seth MacFarlane,Iván Kamarás,Brian Steele,Action Adventure Fantasy Horror Sci-Fi,hellboy ii: the golden army,Seth MacFarlane Iván Kamarás Brian Steele Guillermo del Toro Action Adventure Fantasy Horror Sci-Fi
393,David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,zodiac,Robert Downey Jr. Jake Gyllenhaal Anthony Edwards David Fincher Crime Drama History Mystery Thriller
394,Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Action Mystery Sci-Fi Thriller,the 6th day,Robert Duvall Michael Rapaport Tony Goldwyn Roger Spottiswoode Action Mystery Sci-Fi Thriller
395,Tom Shadyac,Morgan Freeman,Steve Carell,Lisa Ann Walter,Comedy Drama,bruce almighty,Morgan Freeman Steve Carell Lisa Ann Walter Tom Shadyac Comedy Drama
396,Sylvester Stallone,Jason Statham,Sylvester Stallone,Jet Li,Action Adventure Thriller,the expendables,Jason Statham Sylvester Stallone Jet Li Sylvester Stallone Action Adventure Thriller
397,Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave,Action Adventure Thriller,mission: impossible,Tom Cruise Kristin Scott Thomas Vanessa Redgrave Brian De Palma Action Adventure Thriller
398,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Anthony Reynolds,Adventure Drama Sci-Fi Thriller,the hunger games,Jennifer Lawrence Josh Hutcherson Anthony Reynolds Gary Ross Adventure Drama Sci-Fi Thriller
399,Todd Phillips,Bradley Cooper,Mason Lee,Mike Tyson,Comedy,the hangover part ii,Bradley Cooper Mason Lee Mike Tyson Todd Phillips Comedy
400,Tim Burton,Michael Gough,Vincent Schiavelli,Andrew Bryniarski,Action,batman returns,Michael Gough Vincent Schiavelli Andrew Bryniarski Tim Burton Action
401,Tim Johnson,Bruce Willis,Steve Carell,Catherine O'Hara,Adventure Animation Comedy Family,over the hedge,Bruce Willis Steve Carell Catherine O'Hara Tim Johnson Adventure Animation Comedy Family
402,Dean DeBlois,Tia Carrere,Jason Scott Lee,David Ogden Stiers,Adventure Animation Comedy Drama Family Fantasy Sci-Fi,lilo & stitch,Tia Carrere Jason Scott Lee David Ogden Stiers Dean DeBlois Adventure Animation Comedy Drama Family Fantasy Sci-Fi
403,Gary Winick,Steve Buscemi,Julia Roberts,Oprah Winfrey,Comedy Family Fantasy,charlotte's web,Steve Buscemi Julia Roberts Oprah Winfrey Gary Winick Comedy Family Fantasy
404,Mimi Leder,Morgan Freeman,Jon Favreau,Robert Duvall,Action Drama Romance Sci-Fi Thriller,deep impact,Morgan Freeman Jon Favreau Robert Duvall Mimi Leder Action Drama Romance Sci-Fi Thriller
405,Dean Parisot,Bruce Willis,Anthony Hopkins,Garrick Hagon,Action Comedy Crime Thriller,red 2,Bruce Willis Anthony Hopkins Garrick Hagon Dean Parisot Action Comedy Crime Thriller
406,Peter Segal,Adam Sandler,Steve Reevis,Dalip Singh,Comedy Crime Sport,the longest yard,Adam Sandler Steve Reevis Dalip Singh Peter Segal Comedy Crime Sport
407,Mike Mitchell,Amy Poehler,Jesse McCartney,Lauren Gottlieb,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: chipwrecked,Amy Poehler Jesse McCartney Lauren Gottlieb Mike Mitchell Adventure Animation Comedy Family Fantasy Music
408,Dennis Dugan,Steve Buscemi,Adam Sandler,Jon Lovitz,Comedy,grown ups 2,Steve Buscemi Adam Sandler Jon Lovitz Dennis Dugan Comedy
409,Peter Segal,Bill Murray,Dwayne Johnson,Anne Hathaway,Action Adventure Comedy,get smart,Bill Murray Dwayne Johnson Anne Hathaway Peter Segal Action Adventure Comedy
410,Nancy Meyers,Keanu Reeves,Jon Favreau,Paul Michael Glaser,Comedy Drama Romance,something's gotta give,Keanu Reeves Jon Favreau Paul Michael Glaser Nancy Meyers Comedy Drama Romance
411,Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,Mystery Thriller,shutter island,Leonardo DiCaprio Joseph Sikora Nellie Sciutto Martin Scorsese Mystery Thriller
412,Seth Gordon,Jon Favreau,Robert Duvall,Katy Mixon,Comedy Drama Romance,four christmases,Jon Favreau Robert Duvall Katy Mixon Seth Gordon Comedy Drama Romance
413,Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,Adventure Animation Comedy Family Sci-Fi,robots,Jim Broadbent Drew Carey Paula Abdul Chris Wedge Adventure Animation Comedy Family Sci-Fi
414,John Woo,Nicolas Cage,CCH Pounder,Joan Allen,Action Crime Sci-Fi Thriller,face/off,Nicolas Cage CCH Pounder Joan Allen John Woo Action Crime Sci-Fi Thriller
415,Adam Shankman,Adam Sandler,Carmen Electra,Kathryn Joosten,Comedy Family Fantasy Romance,bedtime stories,Adam Sandler Carmen Electra Kathryn Joosten Adam Shankman Comedy Family Fantasy Romance
416,Sam Mendes,Tom Hanks,Jennifer Jason Leigh,Liam Aiken,Crime Drama Thriller,road to perdition,Tom Hanks Jennifer Jason Leigh Liam Aiken Sam Mendes Crime Drama Thriller
417,Dennis Dugan,Adam Sandler,Bailee Madison,Kevin Nealon,Comedy Romance,just go with it,Adam Sandler Bailee Madison Kevin Nealon Dennis Dugan Comedy Romance
418,unknown,Elden Henson,Royce Johnson,Charlie Cox,Action Adventure Crime Drama Sci-Fi Thriller,daredevil            ,Elden Henson Royce Johnson Charlie Cox unknown Action Adventure Crime Drama Sci-Fi Thriller
419,Simon West,Steve Buscemi,Monica Potter,Dave Chappelle,Action Crime Thriller,con air,Steve Buscemi Monica Potter Dave Chappelle Simon West Action Crime Thriller
420,D.J. Caruso,Rosario Dawson,Ethan Embry,Cameron Boyce,Action Mystery Thriller,eagle eye,Rosario Dawson Ethan Embry Cameron Boyce D.J. Caruso Action Mystery Thriller
421,Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Charlie Hunnam,Adventure Drama History Romance War,cold mountain,Philip Seymour Hoffman Natalie Portman Charlie Hunnam Anthony Minghella Adventure Drama History Romance War
422,Albert Hughes,Denzel Washington,Mila Kunis,Gary Oldman,Action Adventure Drama Thriller,the book of eli,Denzel Washington Mila Kunis Gary Oldman Albert Hughes Action Adventure Drama Thriller
423,Les Mayfield,Robin Williams,Jodi Benson,Sam Lloyd,Comedy Family Sci-Fi,flubber,Robin Williams Jodi Benson Sam Lloyd Les Mayfield Comedy Family Sci-Fi
424,Jan de Bont,Liam Neeson,Lili Taylor,Virginia Madsen,Fantasy Horror Mystery Thriller,the haunting,Liam Neeson Lili Taylor Virginia Madsen Jan de Bont Fantasy Horror Mystery Thriller
